sample_index,time_s,time_error_s
496,4.96,-1.00726020139075e-10
497,4.97,-1.03355410486105e-10
498,4.98,-9.78715299405096e-11
499,4.99,-9.59511545391863e-11
500,5,-9.90907985510386e-11
501,5.01,-9.63942147934851e-11
502,5.02,-8.76230773824907e-11
503,5.03,-8.16719141308568e-11
504,5.04,-7.81686826263149e-11
505,5.05,-7.53443915679937e-11
506,5.06,-7.6154199679972e-11
507,5.07,-6.6113112979505e-11
508,5.08,-6.08177686574808e-11
509,5.09,-6.55376141013925e-11
510,5.1,-7.25711097079708e-11
511,5.11,-7.55412051732893e-11
512,5.12,-7.13163677814095e-11
513,5.13,-5.5509812735637e-11
514,5.14,-5.39336383714369e-11
515,5.15,-5.60034030459115e-11
516,5.16,-4.57074886995485e-11
517,5.17,-4.03764951135272e-11
518,5.18,-3.84264705365185e-11
519,5.19,-3.89891441926353e-11
520,5.2,-3.9964227281971e-11
521,5.21,-4.10500310752197e-11
522,5.22,-4.43465217297941e-11
523,5.23,-3.78617524284944e-11
524,5.24,-3.31598047838854e-11
525,5.25,-3.24832854981791e-11
526,5.26,-2.72024080844745e-11
527,5.27,-1.82087198994402e-11
528,5.28,-1.38597615518098e-11
529,5.29,-1.71420077478048e-11
530,5.3,-1.75256226707394e-11
531,5.31,-2.15272565050271e-11
532,5.32,-1.64073109981064e-11
533,5.33,-1.54326093509151e-11
534,5.34,-2.23848500687558e-11
535,5.35,-1.91138799715402e-11
536,5.36,-1.86426988146393e-11
537,5.37,-2.02792477894377e-11
538,5.38,-2.20728738890203e-11
539,5.39,-1.96771794430541e-11
540,5.4,-1.94644731336607e-11
541,5.41,-1.34965199758065e-11
542,5.42,-1.35505998840289e-11
543,5.43,-5.90596749238372e-12
544,5.44,-4.5437414153694e-12
545,5.45,-4.36446668390199e-12
546,5.46,3.48496765562713e-12
547,5.47,1.60154344838448e-12
548,5.48,-3.92917613418873e-12
549,5.49,-1.0645715744886e-11
550,5.5,-5.44021629031795e-12
551,5.51,-3.39639170808388e-12
552,5.52,8.50638408471654e-13
553,5.53,-6.41955318543201e-12
554,5.54,-1.27664991963257e-11
555,5.55,-2.81954012746049e-11
556,5.56,-3.11678692937601e-11
557,5.57,-2.99255994167191e-11
558,5.58,-3.19690407539309e-11
559,5.59,-3.25545192282691e-11
560,5.6,-2.46546513030171e-11
561,5.61,-2.71676120140148e-11
562,5.62,-2.70942453617999e-11
563,5.63,-1.99996470543893e-11
564,5.64,-2.1723645426697e-11
565,5.65,-2.03116340334884e-11
566,5.66,-1.38813170767377e-11
567,5.67,-4.63579277606204e-12
568,5.68,-1.01288813968403e-11
569,5.69,-8.6123471613369e-13
570,5.7,-1.46365723114937e-12
571,5.71,-3.3983807068336e-12
572,5.72,-3.93554725091831e-12
573,5.73,4.10347953351555e-12
574,5.74,3.8049058256421e-12
575,5.75,1.80712171199074e-12
576,5.76,3.98413115425542e-12
577,5.77,3.8018063265339e-13
578,5.78,-6.62642980339164e-12
579,5.79,-1.22967772942227e-11
580,5.8,-1.88020675343705e-11
581,5.81,-2.38081734138327e-11
582,5.82,-3.08804815794491e-11
583,5.83,-2.9535204294224e-11
584,5.84,-3.55639933900425e-11
585,5.85,-3.76308077766102e-11
586,5.86,-2.82093267185174e-11
587,5.87,-2.86620529908666e-11
588,5.88,-2.33723529388096e-11
589,5.89,-2.89664148629411e-11
590,5.9,-3.22280479819356e-11
591,5.91,-4.25768009618973e-11
592,5.92,-4.70477191081836e-11
593,5.93,-5.01189401789214e-11
594,5.94,-5.18205086150839e-11
595,5.95,-5.87217052225356e-11
596,5.96,-6.48632940687257e-11
597,5.97,-6.55190202788359e-11
598,5.98,-7.2778952719301e-11
599,5.99,-7.43105909558546e-11
600,6,-7.46306191559426e-11
601,6.01,-7.23893009630904e-11
602,6.02,-7.60322903420641e-11
603,6.03,-7.17676317592004e-11
604,6.04,-6.96007907696529e-11
605,6.05,-7.64054724630287e-11
606,6.06,-7.33717960347168e-11
607,6.07,-6.8131794330571e-11
608,6.08,-6.64048771760873e-11
609,6.09,-6.23746131598968e-11
610,6.1,-7.31554391427401e-11
611,6.11,-7.80644399315034e-11
612,6.12,-8.18099650278192e-11
613,6.13,-8.22028038316084e-11
614,6.14,-7.99903873772023e-11
615,6.15,-8.24334283530547e-11
616,6.16,-8.32536882450677e-11
617,6.17,-8.19123790264331e-11
618,6.18,-8.61864763561984e-11
619,6.19,-8.87209660693228e-11
620,6.2,-8.48981337041944e-11
621,6.21,-7.62252345469562e-11
622,6.22,-7.63880768089541e-11
623,6.23,-7.64767413943562e-11
624,6.24,-8.62056782253327e-11
625,6.25,-8.71580640972504e-11
626,6.26,-8.70340871350805e-11
627,6.27,-8.91621412872393e-11
628,6.28,-9.41579422031029e-11
629,6.29,-9.55742366504703e-11
630,6.3,-1.03766707074598e-10
631,6.31,-1.08232106153217e-10
632,6.32,-1.10791678706518e-10
633,6.33,-1.13858142648068e-10
634,6.34,-1.18195131019198e-10
635,6.35,-1.13804712749914e-10
636,6.36,-1.12724686880845e-10
637,6.37,-1.1082612063407e-10
638,6.38,-1.06045400715729e-10
639,6.39,-1.06395004116909e-10
640,6.4,-1.1350148220445e-10
641,6.41,-1.13050446929524e-10
642,6.42,-1.11767030386118e-10
643,6.43,-1.07708464757498e-10
644,6.44,-1.09106631492425e-10
645,6.45,-1.14272767335781e-10
646,6.46,-1.17280863411081e-10
647,6.47,-1.20941040635001e-10
648,6.48,-1.18387798008587e-10
649,6.49,-1.17545175584553e-10
650,6.5,-1.20025785102889e-10
651,6.51,-1.14077599162919e-10
652,6.52,-1.11290142528591e-10
653,6.53,-1.12032366828894e-10
654,6.54,-1.16155411953133e-10
655,6.55,-1.20665926255098e-10
656,6.56,-1.24734978488467e-10
657,6.57,-1.32653167669793e-10
658,6.58,-1.34779574795249e-10
659,6.59,-1.39634143149242e-10
660,6.6,-1.41796388020755e-10
661,6.61,-1.32627540960042e-10
662,6.62,-1.35290815022157e-10
663,6.63,-1.35348782396097e-10
664,6.64,-1.37313220963966e-10
665,6.65,-1.16294593449803e-10
666,6.66,-1.04204752169757e-10
667,6.67,-1.03535395289559e-10
668,6.68,-9.41720165663424e-11
669,6.69,-9.81310462223812e-11
670,6.7,-1.04951512644083e-10
671,6.71,-1.01636652412809e-10
672,6.72,-9.37901919179825e-11
673,6.73,-9.33737197941432e-11
674,6.74,-9.29330117239685e-11
675,6.75,-9.85323788325824e-11
676,6.76,-9.63563017563829e-11
677,6.77,-1.06116814673005e-10
678,6.78,-1.09877378123901e-10
679,6.79,-1.11158101392263e-10
680,6.8,-1.11400942289616e-10
681,6.81,-1.16172653577526e-10
682,6.82,-1.2419757008388e-10
683,6.83,-1.2249443731331e-10
684,6.84,-1.24473082151389e-10
685,6.85,-1.23704726895334e-10
686,6.86,-1.33351963417068e-10
687,6.87,-1.34011487068974e-10
688,6.88,-1.33863433769062e-10
689,6.89,-1.40375896532862e-10
690,6.9,-1.43242405721876e-10
691,6.91,-1.4956463208829e-10
692,6.92,-1.57190129204429e-10
693,6.93,-1.52942534198148e-10
694,6.94,-1.56969479635046e-10
695,6.95,-1.55180767984456e-10
696,6.96,-1.57807847667043e-10
697,6.97,-1.57806374862911e-10
698,6.98,-1.56724967684187e-10
699,6.99,-1.57719524540056e-10
700,7,-1.599732654475e-10
701,7.01,-1.61427918832753e-10
702,7.02,-1.51690294870264e-10
703,7.03,-1.45152279170452e-10
704,7.04,-1.38965517795456e-10
705,7.05,-1.49331688170555e-10
706,7.06,-1.41417496016177e-10
707,7.07,-1.37228191354216e-10
708,7.08,-1.41347854696579e-10
709,7.09,-1.5289089379089e-10
710,7.1,-1.48226035586683e-10
711,7.11,-1.47695564022122e-10
712,7.12,-1.40326587992664e-10
713,7.13,-1.48307923592966e-10
714,7.14,-1.42596968609574e-10
715,7.15,-1.49194934974643e-10
716,7.16,-1.56960028539624e-10
717,7.17,-1.60217594169382e-10
718,7.18,-1.56809455919337e-10
719,7.19,-1.53901075832606e-10
720,7.2,-1.5314325266189e-10
721,7.21,-1.54833592689123e-10
722,7.22,-1.48644896642415e-10
723,7.23,-1.50712654777163e-10
724,7.24,-1.46203384596078e-10
725,7.25,-1.47369112307114e-10
726,7.26,-1.50392699063042e-10
727,7.27,-1.51011179719363e-10
728,7.28,-1.54127578382456e-10
729,7.29,-1.5044498251953e-10
730,7.3,-1.50439348664976e-10
731,7.31,-1.53951752587171e-10
732,7.32,-1.4842990379011e-10
733,7.33,-1.5030423777468e-10
734,7.34,-1.49776158415963e-10
735,7.35,-1.45504199944518e-10
736,7.36,-1.4370997219135e-10
737,7.37,-1.49529156484797e-10
738,7.38,-1.4427287515387e-10
739,7.39,-1.41819705735252e-10
740,7.4,-1.45252881633427e-10
741,7.41,-1.4859824318777e-10
742,7.42,-1.41707087570315e-10
743,7.43,-1.40146217330544e-10
744,7.44,-1.39639627402902e-10
745,7.45,-1.33547149742226e-10
746,7.46,-1.22486415846027e-10
747,7.47,-1.29704015418793e-10
748,7.48,-1.33687053555468e-10
749,7.49,-1.3920772847186e-10
750,7.5,-1.37059812688409e-10
751,7.51,-1.42067000839977e-10
752,7.52,-1.40747315654759e-10
753,7.53,-1.368311665187e-10
